processid,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,country,realm,label
ASSCR6642-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Cardiorhinus,NA,Cardiorhinus binotatusAS2,NA,Costa Rica,Panamanian,ASSCR6642-12_Elateridae_Elaterinae_Agriotini_Cardiorhinus_binotatusAS2_Costa_Rica
BBCCN821-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes tardus,NA,Canada,Nearctic,BBCCN821-10_Elateridae_Elaterinae_Agriotini_Agriotes_tardus_Canada
BBCEC328-09,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius vagus,NA,Canada,Nearctic,BBCEC328-09_Elateridae_Elaterinae_Agriotini_Dalopius_vagus_Canada
CIOSB48273-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,NA,NA,United States,Nearctic,CIOSB48273-23_Elateridae_Elaterinae_Agriotini_Dalopius_United_States
CIOSC18846-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius suspectus,NA,United States,Nearctic,CIOSC18846-23_Elateridae_Elaterinae_Agriotini_Dalopius_suspectus_United_States
CIOSC39998-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius insulanus,NA,United States,Nearctic,CIOSC39998-23_Elateridae_Elaterinae_Agriotini_Dalopius_insulanus_United_States
CNCCE1158-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes opaculus,NA,United States,Nearctic,CNCCE1158-12_Elateridae_Elaterinae_Agriotini_Agriotes_opaculus_United_States
CNCCE1162-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes pubescens,NA,Canada,Nearctic,CNCCE1162-12_Elateridae_Elaterinae_Agriotini_Agriotes_pubescens_Canada
CNCCE1163-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes quebecensis,NA,Canada,Nearctic,CNCCE1163-12_Elateridae_Elaterinae_Agriotini_Agriotes_quebecensis_Canada
CNCCE1174-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes apicalis,NA,Canada,Nearctic,CNCCE1174-12_Elateridae_Elaterinae_Agriotini_Agriotes_apicalis_Canada
CNCCE656-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes fucosus,NA,Canada,Nearctic,CNCCE656-12_Elateridae_Elaterinae_Agriotini_Agriotes_fucosus_Canada
CNCCE660-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes limosus,NA,Canada,Nearctic,CNCCE660-12_Elateridae_Elaterinae_Agriotini_Agriotes_limosus_Canada
CNCCG140-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes collaris,NA,Canada,Nearctic,CNCCG140-12_Elateridae_Elaterinae_Agriotini_Agriotes_collaris_Canada
CNFNR4156-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,NA,NA,Canada,Nearctic,CNFNR4156-14_Elateridae_Elaterinae_Agriotini_Dalopius_Canada
CNGSC3828-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,NA,NA,Canada,Nearctic,CNGSC3828-15_Elateridae_Elaterinae_Agriotini_Dalopius_Canada
CNGUA679-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Canada,Nearctic,CNGUA679-14_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Canada
CNGUC980-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Canada,Nearctic,CNGUC980-15_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Canada
CNGUK003-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Canada,Nearctic,CNGUK003-15_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Canada
CNPEN1019-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes stabilis,NA,Canada,Nearctic,CNPEN1019-14_Elateridae_Elaterinae_Agriotini_Agriotes_stabilis_Canada
CNPPA4034-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes avulsus,NA,Canada,Nearctic,CNPPA4034-12_Elateridae_Elaterinae_Agriotini_Agriotes_avulsus_Canada
CNSLL339-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius gentilis,NA,Canada,Nearctic,CNSLL339-13_Elateridae_Elaterinae_Agriotini_Dalopius_gentilis_Canada
COLFE1035-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Aland,Palearctic,COLFE1035-13_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Aland
COLFG615-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus aterrimus,NA,Finland,Palearctic,COLFG615-14_Elateridae_Elaterinae_Agriotini_Ectinus_aterrimus_Finland
COLNF439-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius brevicornis,NA,Canada,Nearctic,COLNF439-14_Elateridae_Elaterinae_Agriotini_Dalopius_brevicornis_Canada
CROCA2748-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Cardiorhinus,NA,NA,NA,Costa Rica,Panamanian,CROCA2748-21_Elateridae_Elaterinae_Agriotini_Cardiorhinus_Costa_Rica
CRSRA1738-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Cardiorhinus,NA,NA,NA,Costa Rica,Panamanian,CRSRA1738-22_Elateridae_Elaterinae_Agriotini_Cardiorhinus_Costa_Rica
CRTRB22536-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Cardiorhinus,NA,NA,NA,Costa Rica,Panamanian,CRTRB22536-22_Elateridae_Elaterinae_Agriotini_Cardiorhinus_Costa_Rica
DTNHM4046-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes sputator,NA,United Kingdom,Palearctic,DTNHM4046-22_Elateridae_Elaterinae_Agriotini_Agriotes_sputator_United_Kingdom
DTNHM4622-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,United Kingdom,Palearctic,DTNHM4622-22_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_United_Kingdom
DTNHM7322-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,United Kingdom,Palearctic,DTNHM7322-23_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_United_Kingdom
ELPCG5552-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes oblongicollis,NA,Canada,Nearctic,ELPCG5552-17_Elateridae_Elaterinae_Agriotini_Agriotes_oblongicollis_Canada
FACE24818-24,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes pallidulus,NA,United Kingdom,Palearctic,FACE24818-24_Elateridae_Elaterinae_Agriotini_Agriotes_pallidulus_United_Kingdom
FBCOD496-11,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Germany,Palearctic,FBCOD496-11_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Germany
FBCOF285-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus aterrimus,NA,Germany,Palearctic,FBCOF285-12_Elateridae_Elaterinae_Agriotini_Ectinus_aterrimus_Germany
FBCOF827-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes pilosellus,NA,Germany,Palearctic,FBCOF827-12_Elateridae_Elaterinae_Agriotini_Agriotes_pilosellus_Germany
FBCOJ084-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes pilosellus,NA,Belgium,Palearctic,FBCOJ084-12_Elateridae_Elaterinae_Agriotini_Agriotes_pilosellus_Belgium
FBCOJ388-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes acuminatus,NA,Belgium,Palearctic,FBCOJ388-12_Elateridae_Elaterinae_Agriotini_Agriotes_acuminatus_Belgium
FBCOO334-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Germany,Palearctic,FBCOO334-13_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Germany
FRBX2562-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,United Kingdom,Palearctic,FRBX2562-23_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_United_Kingdom
GBAAY82616-24,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Belgium,Palearctic,GBAAY82616-24_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Belgium
GBCL18400-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius naomii,NA,South Korea,Palearctic,GBCL18400-14_Elateridae_Elaterinae_Agriotini_Dalopius_naomii_South_Korea
GBCL18407-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes koltzei,NA,South Korea,Palearctic,GBCL18407-14_Elateridae_Elaterinae_Agriotini_Agriotes_koltzei_South_Korea
GBCL18425-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus tamnaensis,NA,South Korea,Palearctic,GBCL18425-14_Elateridae_Elaterinae_Agriotini_Ectinus_tamnaensis_South_Korea
GBCOB015-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Germany,Palearctic,GBCOB015-12_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Germany
GBCOU824-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes sputator,NA,Germany,Palearctic,GBCOU824-13_Elateridae_Elaterinae_Agriotini_Agriotes_sputator_Germany
GBMNE50572-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes ogurae,NA,India,Indomalayan,GBMNE50572-22_Elateridae_Elaterinae_Agriotini_Agriotes_ogurae_India
GBMNF54070-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes obscurus,NA,NA,NA,GBMNF54070-22_Elateridae_Elaterinae_Agriotini_Agriotes_obscurus_NA
GBMNF54071-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius pallidus,NA,United States,Nearctic,GBMNF54071-22_Elateridae_Elaterinae_Agriotini_Dalopius_pallidus_United_States
GBMNF54076-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius suspectus,NA,United States,Nearctic,GBMNF54076-22_Elateridae_Elaterinae_Agriotini_Dalopius_suspectus_United_States
GMBMI019-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Belarus,Palearctic,GMBMI019-17_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Belarus
GMBMJ017-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Belarus,Palearctic,GMBMJ017-17_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Belarus
GMBMJ1750-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Belarus,Palearctic,GMBMJ1750-17_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Belarus
GMBMJ1772-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Belarus,Palearctic,GMBMJ1772-17_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Belarus
GMBMK018-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Belarus,Palearctic,GMBMK018-17_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Belarus
GMBMK022-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Belarus,Palearctic,GMBMK022-17_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Belarus
GMCVZ067-16,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes sparsus,NA,Canada,Nearctic,GMCVZ067-16_Elateridae_Elaterinae_Agriotini_Agriotes_sparsus_Canada
GMGMA1071-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes ustulatus,NA,Germany,Palearctic,GMGMA1071-14_Elateridae_Elaterinae_Agriotini_Agriotes_ustulatus_Germany
GMGMN1592-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes gallicus,NA,Germany,Palearctic,GMGMN1592-14_Elateridae_Elaterinae_Agriotini_Agriotes_gallicus_Germany
GMOJG052-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius vagus,NA,Canada,Nearctic,GMOJG052-15_Elateridae_Elaterinae_Agriotini_Dalopius_vagus_Canada
GMOVE316-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius asellus,NA,Canada,Nearctic,GMOVE316-15_Elateridae_Elaterinae_Agriotini_Dalopius_asellus_Canada
GMSVC23406-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,NA,NA,United States,Nearctic,GMSVC23406-23_Elateridae_Elaterinae_Agriotini_Dalopius_United_States
HPPPA515-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,NA,NA,Canada,Nearctic,HPPPA515-13_Elateridae_Elaterinae_Agriotini_Dalopius_Canada
INRMA1957-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,Canada,Nearctic,INRMA1957-14_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_Canada
JEBP016-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes asaokai,NA,Japan,Sino-Japanese,JEBP016-13_Elateridae_Elaterinae_Agriotini_Agriotes_asaokai_Japan
JEBP065-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes hirayamai,NA,Japan,Sino-Japanese,JEBP065-13_Elateridae_Elaterinae_Agriotini_Agriotes_hirayamai_Japan
JEBP122-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes ogurae,NA,Japan,Sino-Japanese,JEBP122-13_Elateridae_Elaterinae_Agriotini_Agriotes_ogurae_Japan
JEBP220-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Chatanayus,NA,Chatanayus hidaensis,NA,Japan,Sino-Japanese,JEBP220-13_Elateridae_Elaterinae_Agriotini_Chatanayus_hidaensis_Japan
JEBP221-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Chatanayus,NA,Chatanayus insularis,NA,Japan,Sino-Japanese,JEBP221-13_Elateridae_Elaterinae_Agriotini_Chatanayus_insularis_Japan
JEBP249-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius bizen,NA,Japan,Sino-Japanese,JEBP249-13_Elateridae_Elaterinae_Agriotini_Dalopius_bizen_Japan
JEBP263-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius naomii,NA,Japan,Sino-Japanese,JEBP263-13_Elateridae_Elaterinae_Agriotini_Dalopius_naomii_Japan
JEBP271-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius patagiatus,NA,Japan,Sino-Japanese,JEBP271-13_Elateridae_Elaterinae_Agriotini_Dalopius_patagiatus_Japan
JEBP272-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius patagiatus,NA,Japan,Sino-Japanese,JEBP272-13_Elateridae_Elaterinae_Agriotini_Dalopius_patagiatus_Japan
JEBP277-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus dahuricus,NA,Japan,Sino-Japanese,JEBP277-13_Elateridae_Elaterinae_Agriotini_Ectinus_dahuricus_Japan
JEBP278-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus hidaensis,NA,Japan,Sino-Japanese,JEBP278-13_Elateridae_Elaterinae_Agriotini_Ectinus_hidaensis_Japan
JEBP279-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus higonius,NA,Japan,Sino-Japanese,JEBP279-13_Elateridae_Elaterinae_Agriotini_Ectinus_higonius_Japan
JEBP283-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus insidiosus,NA,Japan,Sino-Japanese,JEBP283-13_Elateridae_Elaterinae_Agriotini_Ectinus_insidiosus_Japan
JEBP284-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinoides,NA,Ectinoides insignitus,NA,Japan,Sino-Japanese,JEBP284-13_Elateridae_Elaterinae_Agriotini_Ectinoides_insignitus_Japan
JEBP286-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus longicollis,NA,Japan,Sino-Japanese,JEBP286-13_Elateridae_Elaterinae_Agriotini_Ectinus_longicollis_Japan
JEBP287-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus longicollis,NA,Japan,Sino-Japanese,JEBP287-13_Elateridae_Elaterinae_Agriotini_Ectinus_longicollis_Japan
JEBP288-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus puberulus,NA,Japan,Sino-Japanese,JEBP288-13_Elateridae_Elaterinae_Agriotini_Ectinus_puberulus_Japan
JEBP290-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus sepes,NA,Japan,Sino-Japanese,JEBP290-13_Elateridae_Elaterinae_Agriotini_Ectinus_sepes_Japan
JEBP296-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Ectinus,NA,Ectinus sericeus,NA,Japan,Sino-Japanese,JEBP296-13_Elateridae_Elaterinae_Agriotini_Ectinus_sericeus_Japan
JEBP724-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Sadoganus,NA,Sadoganus babai,NA,Japan,Sino-Japanese,JEBP724-13_Elateridae_Elaterinae_Agriotini_Sadoganus_babai_Japan
LPASA4449-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Dalopius,NA,Dalopius marginatus,NA,Sweden,Palearctic,LPASA4449-22_Elateridae_Elaterinae_Agriotini_Dalopius_marginatus_Sweden
LPRCC567-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes corsicus,NA,France,Palearctic,LPRCC567-20_Elateridae_Elaterinae_Agriotini_Agriotes_corsicus_France
LPRCI2618-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes sputator,NA,France,Palearctic,LPRCI2618-22_Elateridae_Elaterinae_Agriotini_Agriotes_sputator_France
LPRCI834-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes corsicus,NA,France,Palearctic,LPRCI834-21_Elateridae_Elaterinae_Agriotini_Agriotes_corsicus_France
LYMAB3821-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes limosus,NA,Canada,Nearctic,LYMAB3821-15_Elateridae_Elaterinae_Agriotini_Agriotes_limosus_Canada
